company,Revenue_Growth,returnOnEquity,Profit_Margin,Debt_to_Equity,R_and_D_to_Revenue,Capex_to_Revenue,sector,cluster
obs_0,0.1289,0.2824,0.297,0.3535,0.1912,0.2143,Technology,4
obs_2,0.1428,0.2003,0.15,0.989,0.1334,0.1054,Technology,4
obs_4,0.0421,0.0774,0.091,1.3072,0.1545,0.0441,Technology,4
obs_7,0.021,0.1759,0.208,0.6583,0.1492,0.0409,Healthcare,4
obs_8,0.2452,0.1771,0.396,0.3998,0.182,0.1548,Technology,4
obs_9,0.1821,0.4599,0.588,0.6562,0.1807,0.019,Technology,4
obs_10,0.1868,0.484,0.192,0.7756,0.117,0.0361,Technology,4
obs_12,0.0276,0.0025,0.002,0.5918,0.1284,0.0157,Technology,4
obs_20,0.0688,0.1591,0.242,0.2345,0.1468,0.0175,Technology,4
obs_38,0.0,0.256,0.188,0.5101,0.1321,0.045,Healthcare,4
obs_39,0.0814,0.0585,0.033,0.9689,0.1162,0.0392,Technology,4
obs_40,0.0605,0.1978,0.107,0.8721,0.1107,0.0807,Technology,4
obs_45,0.1164,0.0771,0.077,0.6369,0.0752,0.0456,Healthcare,4
obs_47,0.0825,0.4028,0.235,1.4697,0.1196,0.0606,Consumer_Cyclical,4
obs_49,0.0082,0.0612,0.104,0.5078,0.0753,0.0357,Healthcare,4
obs_60,0.3093,0.2313,0.043,0.7611,0.1238,0.0486,Technology,4
obs_62,0.1549,0.2379,0.155,0.9277,0.0764,0.071,Technology,4
obs_95,0.1161,0.0773,0.094,0.4349,0.088,0.2046,Technology,4
obs_102,0.067,0.1676,0.143,0.4165,0.1465,0.0254,Technology,4
obs_109,-0.0184,-0.0157,-0.048,0.3229,0.0811,0.2372,Sector_Base,4
obs_117,0.1634,0.0085,0.019,0.3499,0.1768,0.0516,Healthcare,4
obs_130,0.3823,0.3662,0.215,0.3717,0.1074,0.0247,Technology,4
obs_131,0.0163,0.2102,0.235,0.7,0.1807,0.0648,Technology,4
obs_142,0.2342,0.173,0.225,0.0226,0.1565,0.183,Technology,4
obs_190,0.16,0.4951,0.199,1.3807,0.1507,0.0166,Technology,4
obs_198,-0.0195,-0.0084,-0.014,0.2059,0.1497,0.0907,Technology,4
obs_208,0.0536,0.2084,0.146,0.4461,0.0589,0.0612,Healthcare,4
obs_209,0.0573,0.0239,0.059,0.4254,0.1117,0.0215,Consumer_Cyclical,4
obs_210,0.148,0.2368,0.183,0.3693,0.0486,0.0652,Technology,4
obs_220,0.0436,0.1278,0.117,0.09,0.1274,0.1343,Technology,4
obs_221,0.0906,0.0935,0.11,0.4889,0.0907,0.1495,Technology,4
obs_224,0.0988,0.0692,0.064,0.3939,0.0783,0.0358,Healthcare,4
obs_225,0.1684,0.2345,0.18,0.4304,0.1534,0.0826,Technology,4
obs_232,0.0779,0.051,0.02,0.8462,0.1323,-0.011,Technology,4
obs_245,-0.0168,0.2968,0.215,0.2496,0.1435,0.0544,Technology,4
obs_252,0.1681,0.0779,0.064,0.9355,0.133,0.0519,Technology,4
obs_253,0.099,0.0644,0.064,0.0173,0.1345,0.0223,Technology,4
obs_260,0.0853,0.094,0.133,0.3452,0.0619,0.0326,Healthcare,4
obs_263,0.0218,0.2352,0.239,0.0,0.0584,0.0465,Consumer_Cyclical,4
obs_281,0.0593,0.2242,0.237,0.0,0.1046,0.1092,Technology,4
obs_282,0.2308,0.092,0.086,0.7317,0.0698,0.0336,Healthcare,4
obs_283,0.1921,0.0859,0.076,0.4286,0.1009,0.1324,Technology,4
obs_285,0.0037,0.0606,0.014,1.099,0.1465,0.0739,Technology,4
obs_289,0.0379,0.0768,0.07,0.0,0.1703,0.0378,Consumer_Cyclical,4
obs_298,0.2141,0.1327,0.241,0.562,0.1879,0.0411,Technology,4
obs_310,-0.0596,0.7115,0.187,0.0,0.1286,0.0131,Technology,4
obs_327,0.6424,0.1609,0.106,0.8842,0.0617,0.0427,Sector_Base,4
obs_328,0.1111,0.0559,0.082,0.1305,0.1217,0.0967,Technology,4
obs_349,0.0688,-0.0059,-0.006,0.6898,0.1679,0.0341,Technology,4
obs_360,0.0803,0.242,0.188,0.7719,0.1818,0.0242,Technology,4
obs_367,-0.0342,0.1793,0.196,0.1117,0.1416,0.0375,Technology,4
obs_368,0.1973,0.1624,0.185,0.2731,0.0743,0.0199,Technology,4
obs_377,0.0533,0.0873,0.04,0.2916,0.077,0.0392,Consumer_Cyclical,4
obs_385,0.2457,0.2679,0.194,0.3609,0.1257,0.0747,Technology,4
obs_387,0.093,0.3029,0.261,0.8405,0.0634,0.0421,Healthcare,4
obs_399,0.104,0.1882,0.13,0.3239,0.0697,0.0454,Technology,4
obs_427,0.1323,0.1533,0.135,0.1367,0.0663,0.0267,Healthcare,4
