company,Revenue_Growth,returnOnEquity,Profit_Margin,Debt_to_Equity,R_and_D_to_Revenue,Capex_to_Revenue,sector,cluster
obs_5,0.0596,0.197,0.053,0.3883,0.0,0.0282,Consumer_Cyclical,3
obs_6,0.0273,0.1844,0.146,0.5916,0.0,0.0556,Consumer_Defensive,3
obs_11,0.1876,0.1087,0.072,0.1971,0.0051,0.0674,Energy,3
obs_15,-0.0728,-0.0291,-0.004,0.529,0.0,0.0264,Technology,3
obs_16,0.1637,0.1739,0.069,1.083,0.0,0.0753,Energy,3
obs_21,0.2377,0.2411,0.094,0.4382,0.0,0.0379,Sector_Base,3
obs_22,0.2057,0.2273,0.139,0.9814,0.0,-0.0914,Energy,3
obs_25,0.078,0.0591,0.065,0.4439,0.0214,0.0689,Energy,3
obs_26,0.0661,0.142,0.017,0.9742,0.0,0.0203,Technology,3
obs_27,0.0234,0.228,0.215,0.0,0.0,0.0212,Consumer_Cyclical,3
obs_29,-0.0424,0.0721,0.037,1.045,0.0404,0.0092,Technology,3
obs_30,0.1574,0.2653,0.079,0.5666,0.0,0.0699,Sector_Base,3
obs_32,0.2884,0.079,0.029,0.7825,0.0,0.0363,Energy,3
obs_34,0.1885,0.1959,0.162,0.4686,0.0095,0.1743,Energy,3
obs_35,0.0779,0.2583,0.212,0.428,0.0,0.0751,Consumer_Cyclical,3
obs_36,0.1737,0.0959,0.089,0.223,0.0073,0.0685,Energy,3
obs_37,0.0894,0.0717,0.04,2.345,0.0,0.1242,Consumer_Cyclical,3
obs_42,0.2415,0.0538,0.033,0.804,0.0,0.1791,Consumer_Cyclical,3
obs_43,0.5354,0.0708,0.056,2.0025,0.0,0.0139,Consumer_Cyclical,3
obs_46,0.4117,-0.0917,-0.097,0.3193,0.0,0.1786,Energy,3
obs_48,0.1127,0.1932,0.038,0.5536,0.0,0.0104,Healthcare,3
obs_52,0.0686,0.0898,0.062,0.5716,0.0539,0.0604,Technology,3
obs_54,0.053,-0.0102,-0.003,1.2611,0.0,0.0105,Healthcare,3
obs_57,0.1503,0.0404,0.017,0.3208,0.0023,0.0298,Sector_Base,3
obs_59,0.0791,-0.0086,-0.003,0.0459,0.0,0.0358,Consumer_Cyclical,3
obs_64,0.2425,0.0824,0.015,0.6124,0.0,0.0112,Healthcare,3
